build_model,build_device,manufacturer,board_platform,os_api_level_min,os_api_level_max,supported,support_avc,support_mpeg4v,max_fps,max_codec_mem_size,max_dec_count,max_enc_count,max_fhd_trans_time,rec_image_mode,rec_video_mode,audio_codec_count,max_sw_import_res,max_hw_import_res,max_dec_res_nexsw_b,max_dec_res_nexsw_m,max_dec_res_nexsw_h,max_dec_res_sw_b,max_dec_res_sw_m,max_dec_res_sw_h,max_dec_res_hw_b,max_dec_res_hw_m,max_dec_res_hw_h,export_res_sw,export_res_hw,export_res_extra,properties
,,,MSM8974,16,17,1,3,0,55,12533760,2,1,-1,1,2,-1,2088960,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,736,720,6291456|640,352,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|640,352,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|640,352,360,2097152",""
 ,,,MSM8974,18,10000,1,3,0,55,12533760,2,1,-1,1,2,-1,2088960,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,736,720,6291456|640,368,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|640,368,360,2097152",""
 ,,,MSM8974AA,16,17,1,3,0,55,12533760,2,1,-1,1,2,-1,2088960,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|640,352,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152",""
 ,,,MSM8974AA,18,10000,1,3,0,55,12533760,2,1,-1,1,2,-1,2088960,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1088,1080,12582912|1280,736,720,6291456|640,368,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1920,1088,1080,12582912|1280,736,720,6291456|640,368,360,2097152",""
 ,,,tegra132,18,10000,1,3,0,55,12533760,2,1,-1,1,2,-1,2088960,2088960,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152",""
 ,,,MSM8064,16,17,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1080,1080,12582912|1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MSM8064,18,10000,1,3,0,55,4177920,2,1,2000,1,2,-1,2088960,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152","1280,720,720,6291456|640,360,360,2097152","1920,1080,1080,12582912|1280,720,720,6291456|640,360,360,2097152",""
 ,,,MSM8960,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MSM8916,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,0,0,0,2088960,2088960,2088960,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
 ,,,MSM8x30n,16,10000,1,3,0,35,3133440,2,1,-1,1,2,-1,921600,921600,2088960,2088960,2088960,2088960,0,0,921600,921600,921600,"1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152","1280,720,720,6291456|960,540,540,3145728|640,360,360,2097152",""
